82.175,103.8
88.663,82.175
104.88,63.794
125.55,47.28
148.14,29.944
163.9,24.691
179.14,20.488
195.95,19.963
204.88,26.267
221.69,17.336
276.33,7.88
322.55,5.2533
354.07,6.304
387.7,5.7787
412.91,10.507
432.87,16.285
454.41,23.115
474.38,28.368
492.24,36.248
511.15,47.805
521.13,60.413
529.54,73.021
536.89,91.933
541.09,110.32
543.19,126.08
544.77,143.42
551.07,158.65
554.75,172.83
538.99,164.43
516.4,139.21
493.81,116.1
481.73,106.12
475.95,111.37
491.71,138.69
505.37,182.29
501.17,208.56
508.0,220.11
509.57,245.86
521.13,278.43
532.16,329.38
528.49,357.75
514.83,371.94
503.27,378.24
480.68,385.07
447.06,390.32
429.2,395.58
401.35,386.12
371.41,346.72
384.02,366.68
344.62,328.33
332.01,316.78
313.62,302.59
94.32,123.78
165.43,192.04
115.69,149.23
134.19,163.12
171.59,155.17
147.8,172.16
170.46,172.16
174.42,141.01
192.54,152.9
302.41,282.58
280.32,259.37
194.81,173.29
192.54,198.21
166.36,211.15
137.57,236.74
111.97,249.54
95.976,279.93
236.74,460.68
274.43,484.44
284.09,501.84
260.9,505.06
225.47,485.09
521.07,443.5
398.12,500.58
250.29,14.637
297.13,7.3184
103.07,137.1
114.58,54.539
501.75,160.75
474.96,325.16
330.03,92.556
